MedQA_class,MedQA_subclass,TREC_Class,TREC_Subclass,Question,Named_Entity,source,TRAC_main_pred,TRAC_sub_pred
DRG,description,,,What is Metformin?,Metformin,,DESC,DESC:def
DRG,description,,,What is Glucophage?,Glucophage,,DESC,DESC:def
DRG,description,,,What is Pioglitazone?,Pioglitazone,,DESC,DESC:def
DRG,description,,,What is Sitagliptin?,Sitagliptin,,DESC,DESC:def
DRG,description,,,What is Exenatide?,Exenatide,,DESC,DESC:def
DRG,description,,,What is Sitagliptin-Metformin?,Sitagliptin-Metformin,,DESC,DESC:def
DRG,description,,,What is Metformin?,Metformin,,DESC,DESC:def
DRG,description,,,What is Glucophage?,Glucophage,,DESC,DESC:def
DRG,description,,,What is Insulin ?,Insulin ,,DESC,DESC:def
DRG,description,,,What is Glargine?,Glargine,,DESC,DESC:def
DRG,description,,,What is Basaglar?,Basaglar,,DESC,DESC:def
DRG,description,,,What is Lantus?,Lantus,,DESC,DESC:def
DRG,description,,,What is Glipizide?,Glipizide,,DESC,DESC:def
DRG,description,,,What is Glucotrol?,Glucotrol,,DESC,DESC:def
DRG,description,,,What is Glimepiride?,Glimepiride,,DESC,DESC:def
DRG,description,,,What is Amaryl?,Amaryl,,DESC,DESC:def
DRG,description,,,What is Sitagliptin?,Sitagliptin,,DESC,DESC:def
DRG,description,,,What is Januvia?,Januvia,,DESC,DESC:def
DRG,description,,,What is lisinopril?,lisinopril,,DESC,DESC:def
DRG,description,,,What is Alli?,Alli,,DESC,DESC:def
DRG,description,,,What is simvastatin?,simvastatin,,DESC,DESC:def
DRG,description,,,What is Procrit Vial?,Procrit Vial,,DESC,DESC:def
DRG,description,,,What is simvastatin?,simvastatin,,DESC,DESC:def
DRG,description,,,What is lisinopril Solution?,lisinopril Solution,,DESC,DESC:def
DRG,description,,,What is orlistat capsule?,orlistat capsule,,DESC,DESC:def
DRG,contraindication,,,What should I tell my health care provider before I take Metformin?,Metformin,,HUM,ENTY:other
DRG,contraindication,,,What should I tell my health care provider before I take Glucophage?,Glucophage,,HUM,ENTY:other
DRG,contraindication,,,What should I tell my health care provider before I take Pioglitazone?,Pioglitazone,,HUM,ENTY:other
DRG,contraindication,,,What should I tell my health care provider before I take Sitagliptin?,Sitagliptin,,HUM,ENTY:other
DRG,contraindication,,,What should I tell my health care provider before I take Exenatide?,Exenatide,,HUM,ENTY:other
DRG,contraindication,,,What should I tell my health care provider before I take Sitagliptin-Metformin?,Sitagliptin-Metformin,,HUM,ENTY:other
DRG,contraindication,,,What should I tell my health care provider before I take Metformin?,Metformin,,HUM,ENTY:other
DRG,contraindication,,,What should I tell my health care provider before I take Glucophage?,Glucophage,,HUM,ENTY:other
DRG,contraindication,,,What should I tell my health care provider before I take Insulin ?,Insulin ,,HUM,ENTY:other
