MedQA_class,MedQA_subclass,TREC_Class,TREC_Subclass,Question,Named_Entity,source
DRG,DRG:side_effect,DESC,DESC:manner,How Safe Is Metformin,drug_name:metformin,patientsLikeMe
DRG,DRG:side_effect,ENTY,ENTY:other,Diabetes type 2 / Metformin / Bowel Problems,drug_name:metformin,patientsLikeMe
DRG,DRG:med_advice,DESC,DESC:desc,I just stared taking Trulicity,drug_name:trulicity,patientsLikeMe
DRG,DRG:med_advice,DESC,DESC:desc,Any body else using glucocil ?,drug_name:glucocil,patientsLikeMe
DRG,DRG:med_advice,DESC,DESC:manner,Metformin,drug_name:metformin,patientsLikeMe
DRG,DRG:med_advice,DESC,DESC:manner,Metformin: Does it work???,drug_name:metformin,patientsLikeMe
DRG,DRG:side_effect,DESC,DESC:desc,Has anybody that's taking met form in noticed hair loss?,drug_name:metformin,patientsLikeMe
DRG,DRG:med_advice,DESC,DESC:desc,Insulin added to other type 2 medication,drug_name:insulin,patientsLikeMe
DRG,DRG:med_advice,DESC,DESC:desc,Insulin injection issues,drug_name:insulin,patientsLikeMe
DRG,DRG:med_advice,DESC,DESC:desc,DiabetesType 2 and MTHFR 677T- Has anyone tried Metanx?,drug_name:metanx,patientsLikeMe
DRG,DRG:indication,DESC,DESC:reason,Why is Metformin prescribed?,drug_name:metformin,MedlinePlus
DRG,DRG:use,DESC,DESC:manner,How should Metformin be used?,drug_name:metformin,MedlinePlus
DRG,DRG:use,DESC,DESC:manner,What special precautions should I follow?,ctx:drug_name:metformin,MedlinePlus
DRG,DRG:use,DESC,DESC:manner,How should Metformin be used?,drug_name:metformin,MedlinePlus
DRG,DRG:interaction,DESC,DESC:manner,What if I take metformin and ranolazine?,"drug_name:metformin, drug_name:ranolazine",NA
DRG,DRG:interaction,DESC,DESC:manner,Can I drink alcohol with metformin?,"drug_name:metformin,drink:alcohol",NA
DRG,DRG:side_effect,DESC,DESC:manner,Does metformin increase cardiovascular risk?,"drug_name:metformin,disease:cardiovascular",NA
,,,,,, 
