MedQA_class,MedQA_subclass,TREC_Class,TREC_Subclass,Question,Named_Entity,source,TRAC_main_pred,TRAC_sub_pred
COM,COM:kidney_disease ,DESC,DESC:reason,Is kidney disease the same for people with type 1 diabetes compared to those with type 2 diabetes?,,WebMD,DESC,ENTY:dismed
HI,HI:diagnosis,DESC,DESC:desc,"In men, what is the difference between type 1 diabetes and type 2 diabetes?",,WebMD,DESC,DESC:desc
HI,HI:general,ENTY,ENTY:other,"What specific types of diabetes exist other than type 1, type 2, and gestational?",,WebMD,ENTY,ENTY:other
HI,HI:complications,DESC,DESC:desc,How does tendon damage in type 1 and type 2 diabetes happen?,,WebMD,DESC,DESC:manner
HI,HI:exam_test,NUM,NUM:other,How often should people with type 1 and type 2 diabetes take urine tests?,,WebMD,NUM,NUM:count
HI,HI:complications,ENTY,ENTY:other,What type of complications does type 2 diabetes raise?,,WebMD,ENTY,ENTY:other
HI,HI:complications,DESC,DESC:reason,Is a C-peptide test used for type 1 or type 2 diabetes?,,WebMD,DESC,DESC:reason
HI,HI:general,DESC,DESC:desc,What goes wrong in the body with type 1 and type 2 diabetes?,,WebMD,DESC,DESC:desc
HI,HI:general,DESC,DESC:desc,Is type 2 more or less aggressive than type 1 diabetes?,,WebMD,DESC,DESC:desc
HI,HI:general,DESC,DESC:desc,Are type 1 and type 2 diabetes treated differently?,,WebMD,ENTY,ENTY:dismed
HI,HI:diet,ENTY,ENTY:food,What is the diabetes diet for type 2 diabetes?,,WebMD,DESC,DESC:def
HI,HI:diet,DESC,DESC:manner,How does genetic diabetes increase the chances of getting type 2 diabetes?,,WebMD,DESC,DESC:manner
HI,HI:treatment,ENTY,ENTY:techmeth,What is the treatment for type 2 diabetes related to fatigue?,,WebMD,ENTY,ENTY:dismed
HI,HI:symptom,ENTY,ENTY:other,What are the symptoms of fatigue related to type 2 diabetes?,,WebMD,DESC,DESC:desc
HI,HI:diagnosis,HUM,HUM:ind,Who gets type 2 diabetes?,,WebMD,HUM,HUM:ind
HI,HI:diet,ENTY,ENTY:food,Do I need to eat specific carbs if I am on a type 2 diabetes meal plan?,,WebMD,DESC,DESC:desc
COM,COM:obesity,DESC,DESC:manner,How is obesity linked to type 2 diabetes?,,WebMD,DESC,DESC:manner
HI,HI:diet,ENTY,ENTY:other,What are the ingredients for a spicy blend to replace salt if you have type 2 diabetes?,,WebMD,ENTY,ENTY:substance
HI,HI:general,DESC,DESC:reason,What causes type 2 diabetes?,,WebMD,DESC,DESC:reason
HI,HI:doctor_search,DESC,DESC:manner,How do I find an endocrinologist if I have type 2 diabetes?,,,DESC,DESC:manner
